care,minimum_admissions,territory,indicator,outcome,n,status,pearson_r,pearson_p,pearson_ci_low,pearson_ci_high,spearman_rho,spearman_p,blocks,bootstrap_repetitions,bootstrap_seed,bootstrap_valid,block_status,block_ci_low,block_ci_high,pearson_q_bh,spearman_q_bh,period,census_year
same_uf,1000,CE,illiteracy_15plus,hemorrhage,119,ok,-0.026525195373120918,0.7746086349009589,-0.20553941242729484,0.15420659918163346,-0.0888197309131032,0.33676244221071994,32,2000,20260919,2000,ok,-0.159544386905735,0.09774908091933428,0.9190992156335545,0.531730171911663,2020-2024,2022
same_uf,1000,CE,illiteracy_15plus,W,119,ok,-0.2947978313439727,0.0011356714386341069,-0.450869222598443,-0.12123530731526187,-0.2503320407793992,0.006035650399439368,32,2000,20260919,2000,ok,-0.45714931341025733,-0.10391386317608606,0.01026375278320642,0.06790106699369289,2020-2024,2022
same_uf,1000,CE,sewer_septic,hypertension,119,ok,0.06819339011412065,0.4611780722149392,-0.11319152797979835,0.2451794808876023,0.0552129326306794,0.5509082381351156,32,2000,20260919,2000,ok,-0.1888017150409663,0.26000676880344015,0.6588258174499132,0.7083105918880058,2020-2024,2022
same_uf,1000,CE,sewer_septic,hemorrhage,119,ok,0.021268566282363566,0.8184106380741273,-0.15933696294103292,0.20049656379951725,0.16602721483293448,0.07114168897112201,32,2000,20260919,2000,ok,-0.05557999059332619,0.22730202909842964,0.9443199670086083,0.21517413945962047,2020-2024,2022
same_uf,1000,CE,sewer_septic,W,119,ok,0.08506878551863996,0.35764357817323666,-0.09640288362653532,0.26106687674163404,0.07972511038313632,0.388747305613601,32,2000,20260919,2000,ok,-0.13165275752498903,0.24640426251091493,0.5549641730274362,0.5930043644953236,2020-2024,2022
same_uf,1000,MA,income_pc,hypertension,118,ok,0.1956499056357115,0.03373351290741527,0.015436467510705572,0.36355204449924433,0.16062070199657438,0.08229651446621576,21,2000,20260919,2000,ok,-0.10530384654570366,0.43485017714232055,0.14246506262829328,0.2244450394533157,2020-2024,2022
same_uf,1000,MA,income_pc,hemorrhage,118,ok,0.11192158255635484,0.22757367129275047,-0.0702591793077087,0.28687716429093474,0.20839618650127667,0.02353799705634346,21,2000,20260919,2000,ok,-0.05834670603438492,0.38132784476413284,0.4405915877875425,0.1487415532937771,2020-2024,2022
same_uf,1000,MA,income_pc,W,118,ok,0.23733876289650543,0.009659096559920095,0.05911553302765842,0.40089906819888055,0.18993933949068545,0.03938910896957798,21,2000,20260919,2000,ok,-0.09614732388961755,0.4236685737098554,0.0620941921709149,0.16881046701247704,2020-2024,2022
same_uf,1000,MA,illiteracy_15plus,hypertension,118,ok,-0.2516666652524178,0.00597607326891622,-0.4136104273191276,-0.07428669160862329,-0.24717513092803017,0.00696670313427772,21,2000,20260919,2000,ok,-0.44086591021265753,-0.05231735884104136,0.04482054951687165,0.0696670313427772,2020-2024,2022
same_uf,1000,MA,illiteracy_15plus,hemorrhage,118,ok,-0.1927860814760438,0.03647765156302821,-0.36096651792773915,-0.012460962393099089,-0.2399466756252747,0.008868269049607965,21,2000,20260919,2000,ok,-0.3932367015454641,-0.06891931464156706,0.14273863655097993,0.07398851023596595,2020-2024,2022
