icd10,description,waterstone_groups,waterstone_source,mantel_groups,mantel_source,who_groups,who_source,note
A42.7,Actinomycotic septicaemia,W4,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",M2,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
A54.8,Other gonococcal infections,W4,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",M2,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
B20,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,W7,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",,,,, Exact three-character code; subcategories are not automatically included.
B20.0,HIV disease resulting in mycobacterial infection,W7,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",,,,,
B20.1,HIV disease resulting in other bacterial infections,W7,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",,,,,
B20.4,HIV disease resulting in candidiasis,W7,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",,,,,
B20.8,HIV disease resulting in other infectious and parasitic diseases,W7,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",,,,,
B20.9,HIV disease resulting in unspecified infectious or parasitic disease,W7,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",,,,,
B37.7,Candidal septicaemia,W4,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",M2,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
D62,Acute posthaemorrhagic anaemia,W3,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",,,O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008", Exact three-character code; subcategories are not automatically included.
D65,Disseminated intravascular coagulation [defibrination syndrome],,,M7,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O4,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008", Exact three-character code; subcategories are not automatically included.
D68,Other coagulation defects,,,M7,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O4,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008", Exact three-character code; subcategories are not automatically included.
D68.9,"Coagulation defect, unspecified",,,M7,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O4,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
D69.4,Other primary thrombocytopenia,,,M7,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O4,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
D69.5,Secondary thrombocytopenia,,,M7,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O4,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
