municipality,name,income_pc,illiteracy_10plus,sewer_septic,admissions,hypertension,hemorrhage,W,hypertension_per_1000,hemorrhage_per_1000,W_per_1000
241170,São Bento do Trairí - RN,208.01,25.40000000000001,70.49659201557935,376,4,1,7,10.638297872340425,2.6595744680851063,18.617021276595743
241180,São Fernando - RN,308.77,25.200000000000003,37.387836490528414,224,0,0,0,0.0,0.0,0.0
241190,São Francisco do Oeste - RN,297.59,25.200000000000003,0.5172413793103449,246,3,0,3,12.195121951219512,0.0,12.195121951219512
241200,São Gonçalo do Amarante - RN,359.96,13.900000000000006,65.63330743118891,8655,299,28,419,34.546504910456385,3.2351242056614673,48.41132293471981
241210,São João do Sabugi - RN,376.57,19.099999999999994,4.295812941816204,352,2,0,2,5.681818181818182,0.0,5.681818181818182
241220,São José de Mipibu - RN,322.78,22.90000000000001,19.279562922492826,3411,84,10,103,24.626209322779243,2.9316915860451482,30.196423336265024
241230,São José do Campestre - RN,259.62,26.5,43.69382429689765,922,27,7,37,29.284164859002168,7.592190889370933,40.130151843817785
241240,São José do Seridó - RN,404.11,14.799999999999995,66.63974151857835,187,3,6,10,16.0427807486631,32.0855614973262,53.475935828877006
241250,São Miguel - RN,281.96,27.200000000000003,3.820116054158608,1671,16,4,20,9.57510472770796,2.39377618192699,11.968880909634949
241255,São Miguel do Gostoso - RN,256.37,26.599999999999994,2.9585798816568047,535,31,2,38,57.94392523364486,3.7383177570093458,71.02803738317758
241260,São Paulo do Potengi - RN,298.76,23.40000000000001,59.66423680141374,1228,32,7,48,26.058631921824105,5.700325732899023,39.08794788273616
241270,São Pedro - RN,284.36,28.200000000000003,2.8438769587928032,473,21,2,24,44.397463002114165,4.2283298097251585,50.7399577167019
241280,São Rafael - RN,306.67,29.40000000000001,60.8298755186722,392,4,0,4,10.204081632653061,0.0,10.204081632653061
241290,São Tomé - RN,266.0,28.40000000000001,27.33974358974359,661,33,0,36,49.92435703479576,0.0,54.46293494704992
241300,São Vicente - RN,320.92,21.5,61.01601325234677,301,7,0,7,23.25581395348837,0.0,23.25581395348837
241310,Senador Elói de Souza - RN,203.09,28.099999999999994,17.875647668393782,383,17,3,21,44.38642297650131,7.83289817232376,54.83028720626632
241320,Senador Georgino Avelino - RN,224.55,25.599999999999994,1.8234165067178505,341,12,0,14,35.19061583577712,0.0,41.05571847507331
241330,Serra de São Bento - RN,242.24,34.599999999999994,11.426767676767676,404,4,2,6,9.900990099009901,4.9504950495049505,14.851485148514852
241335,Serra do Mel - RN,280.64,23.200000000000003,1.4342058085335243,1058,11,2,13,10.396975425330814,1.890359168241966,12.287334593572778
241340,Serra Negra do Norte - RN,288.55,23.599999999999994,74.33751743375174,459,3,0,3,6.5359477124183005,0.0,6.5359477124183005
241350,Serrinha - RN,239.32,28.099999999999994,3.5353535353535355,560,10,2,15,17.857142857142858,3.5714285714285716,26.785714285714285
241355,Serrinha dos Pintos - RN,249.53,24.700000000000003,0.6559766763848397,240,8,0,8,33.333333333333336,0.0,33.333333333333336
241360,Severiano Melo - RN,285.53,26.200000000000003,9.971014492753625,474,4,1,8,8.438818565400844,2.109704641350211,16.877637130801688
241370,Sítio Novo - RN,213.34,28.700000000000003,13.244569025928522,429,9,0,10,20.97902097902098,0.0,23.31002331002331
241380,Taboleiro Grande - RN,276.78,21.5,1.1594202898550725,181,8,0,8,44.19889502762431,0.0,44.19889502762431
241390,Taipu - RN,233.26,32.099999999999994,5.812807881773399,615,47,3,53,76.42276422764228,4.878048780487805,86.17886178861788
241400,Tangará - RN,263.83,24.0,77.31694828469023,1181,24,0,31,20.321761219305674,0.0,26.248941574936495
241410,Tenente Ananias - RN,276.13,24.8,28.76455125797972,692,7,2,9,10.115606936416185,2.8901734104046244,13.00578034682081
241415,Tenente Laurentino Cruz - RN,256.17,19.90000000000001,6.229720960415315,516,14,0,15,27.131782945736433,0.0,29.069767441860463
241420,Tibau do Sul - RN,466.52,20.3,23.65724930145917,854,43,0,45,50.35128805620609,0.0,52.69320843091335
241430,Timbaúba dos Batistas - RN,361.22,21.200000000000003,97.33333333333331,123,0,0,0,0.0,0.0,0.0
241440,Touros - RN,262.51,27.0,19.63337547408344,2333,123,12,163,52.72181740248607,5.143591941705958,69.86712387483927
241445,Triunfo Potiguar - RN,276.4,27.599999999999994,1.3086150490730644,269,8,1,9,29.739776951672862,3.717472118959108,33.45724907063197
241450,Umarizal - RN,304.32,23.700000000000003,4.996796925048046,751,9,2,14,11.984021304926765,2.663115845539281,18.641810918774965
241460,Upanema - RN,229.98,26.200000000000003,1.4578833693304536,1022,13,4,20,12.720156555772995,3.9138943248532287,19.569471624266146
241470,Várzea - RN,287.25,28.599999999999994,13.51875808538163,381,7,2,13,18.37270341207349,5.2493438320209975,34.120734908136484
241475,Venha-Ver - RN,177.88,29.099999999999994,3.7593984962406015,266,5,0,5,18.796992481203006,0.0,18.796992481203006
241480,Vera Cruz - RN,254.33,29.0,3.5443037974683542,811,23,6,31,28.360049321824906,7.398273736128237,38.224414303329226
241490,Viçosa - RN,245.16,20.0,73.8045738045738,133,7,1,8,52.63157894736842,7.518796992481203,60.150375939849624
241500,Vila Flor - RN,250.26,22.200000000000003,1.7467248908296944,210,12,0,15,57.142857142857146,0.0,71.42857142857143
